Sample	Plot_full_name	Plot_ID	Warming	Clipping	Precip	Year
X10_9N_N_N_2	9N_N_N_2	N09	N	N	P2	Y10
X10_9S_N_C_2	9S_N_C_2	S09	N	C	P2	Y10
X11_10N_H_N_1	10N_H_N_1	N10	W	N	P1	Y11
X11_10S_H_C_1	10S_H_C_1	S10	W	C	P1	Y11
X11_11N_N_N_0	11N_N_N_0	N11	N	N	P0	Y11
X11_11S_N_C_0	11S_N_C_0	S11	N	C	P0	Y11
X11_12N_N_N_2	12N_N_N_2	N12	N	N	P2	Y11
X11_12S_N_C_2	12S_N_C_2	S12	N	C	P2	Y11
X11_13N_N_N_0	13N_N_N_0	N13	N	N	P0	Y11
X11_13S_N_C_0	13S_N_C_0	S13	N	C	P0	Y11
X11_14N_N_N_2	14N_N_N_2	N14	N	N	P2	Y11
X11_14S_N_C_2	14S_N_C_2	S14	N	C	P2	Y11
X11_15N_H_N_0	15N_H_N_0	N15	W	N	P0	Y11
X11_15S_H_C_0	15S_H_C_0	S15	W	C	P0	Y11
X11_16N_H_N_1	16N_H_N_1	N16	W	N	P1	Y11
X11_16S_H_C_1	16S_H_C_1	S16	W	C	P1	Y11
X11_17N_N_N_2	17N_N_N_2	N17	N	N	P2	Y11
X11_17S_N_C_2	17S_N_C_2	S17	N	C	P2	Y11
X11_18N_H_N_0	18N_H_N_0	N18	W	N	P0	Y11
X11_18S_H_C_0	18S_H_C_0	S18	W	C	P0	Y11
X11_19N_N_N_1	19N_N_N_1	N19	N	N	P1	Y11
X11_19S_N_C_1	19S_N_C_1	S19	N	C	P1	Y11
X11_1N_H_N_1	1N_H_N_1	N01	W	N	P1	Y11
X11_1S_H_C_1	1S_H_C_1	S01	W	C	P1	Y11
X11_20N_H_N_1	20N_H_N_1	N20	W	N	P1	Y11
X11_20S_H_C_1	20S_H_C_1	S20	W	C	P1	Y11
X11_21N_H_N_2	21N_H_N_2	N21	W	N	P2	Y11
X11_21S_H_C_2	21S_H_C_2	S21	W	C	P2	Y11
X11_22N_H_N_2	22N_H_N_2	N22	W	N	P2	Y11
X11_22S_H_C_2	22S_H_C_2	S22	W	C	P2	Y11
X11_23N_N_N_1	23N_N_N_1	N23	N	N	P1	Y11
X11_23S_N_C_1	23S_N_C_1	S23	N	C	P1	Y11
X11_24N_N_C_0	24N_N_N_0	N24	N	N	P0	Y11
X11_24S_N_N_0	24S_N_C_0	S24	N	C	P0	Y11
X11_2N_H_N_0	2N_H_N_0	N02	W	N	P0	Y11
X11_2S_H_C_0	2S_H_C_0	S02	W	C	P0	Y11
X11_3N_N_N_1	3N_N_N_1	N03	N	N	P1	Y11
X11_3S_N_C_1	3S_N_C_1	S03	N	C	P1	Y11
X11_4N_H_N_2	4N_H_N_2	N04	W	N	P2	Y11
X11_4S_H_C_2	4S_H_C_2	S04	W	C	P2	Y11
X11_5N_H_N_0	5N_H_N_0	N05	W	N	P0	Y11
X11_5s_H_C_0	5s_H_C_0	S05	W	C	P0	Y11
X11_6N_N_N_1	6N_N_N_1	N06	N	N	P1	Y11
X11_6S_N_C_1	6S_N_C_1	S06	N	C	P1	Y11
X11_7N_H_N_2	7N_H_N_2	N07	W	N	P2	Y11
X11_7S_H_C_2	7S_H_C_2	S07	W	C	P2	Y11
X11_8N_N_N_0	8N_N_N_0	N08	N	N	P0	Y11
X11_8S_N_C_0	8S_N_C_0	S08	N	C	P0	Y11
X11_9N_N_N_2	9N_N_N_2	N09	N	N	P2	Y11
X11_9S_N_C_2	9S_N_C_2	S09	N	C	P2	Y11
X12_10N_H_N_1	10N_H_N_1	N10	W	N	P1	Y12
X12_10S_H_C_1	10S_H_C_1	S10	W	C	P1	Y12
X12_11N_N_N_0	11N_N_N_0	N11	N	N	P0	Y12
X12_11S_N_C_0	11S_N_C_0	S11	N	C	P0	Y12
X12_12N_N_N_2	12N_N_N_2	N12	N	N	P2	Y12
X12_12S_N_C_2	12S_N_C_2	S12	N	C	P2	Y12
X12_13N_N_N_0	13N_N_N_0	N13	N	N	P0	Y12
X12_13S_N_C_0	13S_N_C_0	S13	N	C	P0	Y12
X12_14N_N_N_2	14N_N_N_2	N14	N	N	P2	Y12
X12_14S_N_C_2	14S_N_C_2	S14	N	C	P2	Y12
X12_15N_H_N_0	15N_H_N_0	N15	W	N	P0	Y12
X12_15S_H_C_0	15S_H_C_0	S15	W	C	P0	Y12
X12_16N_H_N_1	16N_H_N_1	N16	W	N	P1	Y12
X12_16S_H_C_1	16S_H_C_1	S16	W	C	P1	Y12
X12_17N_N_N_2	17N_N_N_2	N17	N	N	P2	Y12
X12_17S_N_C_2	17S_N_C_2	S17	N	C	P2	Y12
X12_18N_H_N_0	18N_H_N_0	N18	W	N	P0	Y12
X12_18S_H_C_0	18S_H_C_0	S18	W	C	P0	Y12
X12_19N_N_N_1	19N_N_N_1	N19	N	N	P1	Y12
X12_19S_N_C_1	19S_N_C_1	S19	N	C	P1	Y12
X12_1N_H_N_1	1N_H_N_1	N01	W	N	P1	Y12
X12_1S_H_C_1	1S_H_C_1	S01	W	C	P1	Y12
X12_20N_H_N_1	20N_H_N_1	N20	W	N	P1	Y12
X12_20S_H_C_1	20S_H_C_1	S20	W	C	P1	Y12
X12_21N_H_N_2	21N_H_N_2	N21	W	N	P2	Y12
X12_21S_H_C_2	21S_H_C_2	S21	W	C	P2	Y12
X12_22N_H_N_2	22N_H_N_2	N22	W	N	P2	Y12
X12_22S_H_C_2	22S_H_C_2	S22	W	C	P2	Y12
X12_23N_N_N_1	23N_N_N_1	N23	N	N	P1	Y12
X12_23S_N_C_1	23S_N_C_1	S23	N	C	P1	Y12
X12_24N_N_N_0	24N_N_N_0	N24	N	N	P0	Y12
X12_24S_N_C_0	24S_N_C_0	S24	N	C	P0	Y12
X12_2N_H_N_0	2N_H_N_0	N02	W	N	P0	Y12
X12_2S_H_C_0	2S_H_C_0	S02	W	C	P0	Y12
X12_3N_N_N_1	3N_N_N_1	N03	N	N	P1	Y12
X12_3S_N_C_1	3S_N_C_1	S03	N	C	P1	Y12
X12_4N_H_N_2	4N_H_N_2	N04	W	N	P2	Y12
X12_4S_H_C_2	4S_H_C_2	S04	W	C	P2	Y12
X12_5N_H_N_0	5N_H_N_0	N05	W	N	P0	Y12
X12_5s_H_C_0	5s_H_C_0	S05	W	C	P0	Y12
X12_6N_N_N_1	6N_N_N_1	N06	N	N	P1	Y12
X12_6S_N_C_1	6S_N_C_1	S06	N	C	P1	Y12
X12_7N_H_N_2	7N_H_N_2	N07	W	N	P2	Y12
X12_7S_H_C_2	7S_H_C_2	S07	W	C	P2	Y12
X12_8N_N_N_0	8N_N_N_0	N08	N	N	P0	Y12
X12_8S_N_C_0	8S_N_C_0	S08	N	C	P0	Y12
X12_9N_N_N_2	9N_N_N_2	N09	N	N	P2	Y12
X12_9S_N_C_2	9S_N_C_2	S09	N	C	P2	Y12
X13_10N_H_N_1	10N_H_N_1	N10	W	N	P1	Y13
X13_10S_H_C_1	10S_H_C_1	S10	W	C	P1	Y13
X13_11N_N_N_0	11N_N_N_0	N11	N	N	P0	Y13
X13_11S_N_C_0	11S_N_C_0	S11	N	C	P0	Y13
X13_12N_N_N_2	12N_N_N_2	N12	N	N	P2	Y13
X13_12S_N_C_2	12S_N_C_2	S12	N	C	P2	Y13
X13_13N_N_N_0	13N_N_N_0	N13	N	N	P0	Y13
X13_13S_N_C_0	13S_N_C_0	S13	N	C	P0	Y13
X13_14N_N_N_2	14N_N_N_2	N14	N	N	P2	Y13
X13_14S_N_C_2	14S_N_C_2	S14	N	C	P2	Y13
X13_15N_H_N_0	15N_H_N_0	N15	W	N	P0	Y13
X13_15S_H_C_0	15S_H_C_0	S15	W	C	P0	Y13
X13_16N_H_N_1	16N_H_N_1	N16	W	N	P1	Y13
X13_16S_H_C_1	16S_H_C_1	S16	W	C	P1	Y13
X13_17N_N_N_2	17N_N_N_2	N17	N	N	P2	Y13
X13_17S_N_C_2	17S_N_C_2	S17	N	C	P2	Y13
X13_18N_H_N_0	18N_H_N_0	N18	W	N	P0	Y13
X13_18S_H_C_0	18S_H_C_0	S18	W	C	P0	Y13
X13_19N_N_N_1	19N_N_N_1	N19	N	N	P1	Y13
X13_19S_N_C_1	19S_N_C_1	S19	N	C	P1	Y13
X13_1N_H_N_1	1N_H_N_1	N01	W	N	P1	Y13
X13_1S_H_C_1	1S_H_C_1	S01	W	C	P1	Y13
X13_20N_H_N_1	20N_H_N_1	N20	W	N	P1	Y13
X13_20S_H_C_1	20S_H_C_1	S20	W	C	P1	Y13
X13_21N_H_N_2	21N_H_N_2	N21	W	N	P2	Y13
X13_21S_H_C_2	21S_H_C_2	S21	W	C	P2	Y13
X13_22N_H_N_2	22N_H_N_2	N22	W	N	P2	Y13
X13_22S_H_C_2	22S_H_C_2	S22	W	C	P2	Y13
X13_23N_N_N_1	23N_N_N_1	N23	N	N	P1	Y13
X13_23S_N_C_1	23S_N_C_1	S23	N	C	P1	Y13
X13_24N_N_N_0	24N_N_N_0	N24	N	N	P0	Y13
X13_24S_N_C_0	24S_N_C_0	S24	N	C	P0	Y13
X13_2N_H_N_0	2N_H_N_0	N02	W	N	P0	Y13
X13_2S_H_C_0	2S_H_C_0	S02	W	C	P0	Y13
X13_3N_N_N_1	3N_N_N_1	N03	N	N	P1	Y13
X13_3S_N_C_1	3S_N_C_1	S03	N	C	P1	Y13
X13_4N_H_N_2	4N_H_N_2	N04	W	N	P2	Y13
X13_4S_H_C_2	4S_H_C_2	S04	W	C	P2	Y13
X13_5N_H_N_0	5N_H_N_0	N05	W	N	P0	Y13
X13_5s_H_C_0	5s_H_C_0	S05	W	C	P0	Y13
X13_6N_N_N_1	6N_N_N_1	N06	N	N	P1	Y13
X13_6S_N_C_1	6S_N_C_1	S06	N	C	P1	Y13
X13_7N_H_N_2	7N_H_N_2	N07	W	N	P2	Y13
X13_7S_H_C_2	7S_H_C_2	S07	W	C	P2	Y13
X13_8N_N_N_0	8N_N_N_0	N08	N	N	P0	Y13
X13_8S_N_C_0	8S_N_C_0	S08	N	C	P0	Y13
X13_9N_N_N_2	9N_N_N_2	N09	N	N	P2	Y13
X13_9S_N_C_2	9S_N_C_2	S09	N	C	P2	Y13
X14_10N_H_N_1	10N_H_N_1	N10	W	N	P1	Y14
X14_10S_H_C_1	10S_H_C_1	S10	W	C	P1	Y14
X14_11N_N_N_0	11N_N_N_0	N11	N	N	P0	Y14
X14_11S_N_C_0	11S_N_C_0	S11	N	C	P0	Y14
X14_12N_N_N_2	12N_N_N_2	N12	N	N	P2	Y14
X14_12S_N_C_2	12S_N_C_2	S12	N	C	P2	Y14
X14_13N_N_N_0	13N_N_N_0	N13	N	N	P0	Y14
X14_13S_N_C_0	13S_N_C_0	S13	N	C	P0	Y14
X14_14N_N_N_2	14N_N_N_2	N14	N	N	P2	Y14
X14_14S_N_C_2	14S_N_C_2	S14	N	C	P2	Y14
X14_15N_H_N_0	15N_H_N_0	N15	W	N	P0	Y14
X14_15S_H_C_0	15S_H_C_0	S15	W	C	P0	Y14
X14_16N_H_N_1	16N_H_N_1	N16	W	N	P1	Y14
X14_16S_H_C_1	16S_H_C_1	S16	W	C	P1	Y14
X14_17N_N_N_2	17N_N_N_2	N17	N	N	P2	Y14
X14_17S_N_C_2	17S_N_C_2	S17	N	C	P2	Y14
X14_18N_H_N_0	18N_H_N_0	N18	W	N	P0	Y14
X14_18S_H_C_0	18S_H_C_0	S18	W	C	P0	Y14
X14_19N_N_N_1	19N_N_N_1	N19	N	N	P1	Y14
X14_19S_N_C_1	19S_N_C_1	S19	N	C	P1	Y14
X14_1N_H_N_1	1N_H_N_1	N01	W	N	P1	Y14
X14_1S_H_C_1	1S_H_C_1	S01	W	C	P1	Y14
X14_20N_H_N_1	20N_H_N_1	N20	W	N	P1	Y14
X14_20S_H_C_1	20S_H_C_1	S20	W	C	P1	Y14
X14_21N_H_N_2	21N_H_N_2	N21	W	N	P2	Y14
X14_21S_H_C_2	21S_H_C_2	S21	W	C	P2	Y14
X14_22N_H_N_2	22N_H_N_2	N22	W	N	P2	Y14
X14_22S_H_C_2	22S_H_C_2	S22	W	C	P2	Y14
X14_23N_N_N_1	23N_N_N_1	N23	N	N	P1	Y14
X14_23S_N_C_1	23S_N_C_1	S23	N	C	P1	Y14
X14_24N_N_N_0	24N_N_N_0	N24	N	N	P0	Y14
X14_24S_N_C_0	24S_N_C_0	S24	N	C	P0	Y14
X14_2N_H_N_0	2N_H_N_0	N02	W	N	P0	Y14
X14_2S_H_C_0	2S_H_C_0	S02	W	C	P0	Y14
X14_3N_N_N_1	3N_N_N_1	N03	N	N	P1	Y14
X14_3S_N_C_1	3S_N_C_1	S03	N	C	P1	Y14
X14_4N_H_N_2	4N_H_N_2	N04	W	N	P2	Y14
X14_4S_H_C_2	4S_H_C_2	S04	W	C	P2	Y14
X14_5N_H_N_0	5N_H_N_0	N05	W	N	P0	Y14
X14_5s_H_C_0	5s_H_C_0	S05	W	C	P0	Y14
X14_6N_N_N_1	6N_N_N_1	N06	N	N	P1	Y14
X14_6S_N_C_1	6S_N_C_1	S06	N	C	P1	Y14
X14_7N_H_N_2	7N_H_N_2	N07	W	N	P2	Y14
X14_7S_H_C_2	7S_H_C_2	S07	W	C	P2	Y14
X14_8N_N_N_0	8N_N_N_0	N08	N	N	P0	Y14
X14_8S_N_C_0	8S_N_C_0	S08	N	C	P0	Y14
X14_9N_N_N_2	9N_N_N_2	N09	N	N	P2	Y14
X14_9S_N_C_2	9S_N_C_2	S09	N	C	P2	Y14
